age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,poutcome,Bank deposit(target)
84,retired,married,secondary,no,1791.0,no,no,telephone,30.0,oct,62.0,3.0,-1.0,unknown,no
84,retired,married,secondary,no,81204.0,no,no,telephone,28.0,dec,20000000.0,1.0,313.0,other,yes
84,retired,divorced,secondary,no,2619.0,no,no,telephone,8.0,feb,145.0,2.0,115.0,failure,no
84,retired,married,secondary,no,81204.0,no,no,telephone,1.0,apr,390.0,1.0,94.0,success,yes
84,retired,divorced,secondary,no,639.0,no,no,telephone,18.0,may,353.0,3.0,-1.0,unknown,yes
84,retired,divorced,primary,no,1680.0,no,no,telephone,6.0,sep,113.0,5.0,97.0,other,no
84,retired,married,tertiary,no,4761.0,no,no,telephone,9.0,sep,1405.0,1.0,92.0,failure,yes
83,retired,married,primary,no,425.0,no,no,telephone,22.0,jun,883.0,1.0,140.0,failure,yes
83,retired,divorced,primary,no,0.0,no,no,telephone,31.0,may,664.0,1.0,77.0,success,no
83,retired,divorced,primary,no,1097.0,no,no,telephone,5.0,mar,181.0,1.0,-1.0,unknown,yes
83,retired,married,primary,no,425.0,no,no,telephone,2.0,feb,912.0,1.0,-1.0,unknown,no
83,retired,married,tertiary,no,6236.0,no,no,cellular,2.0,feb,283.0,2.0,-1.0,unknown,no
83,retired,single,primary,no,3349.0,no,no,telephone,12.0,feb,89.0,1.0,-1.0,unknown,no
83,retired,divorced,primary,no,1097.0,no,no,telephone,5.0,mar,181.0,1.0,-1.0,unknown,yes
83,retired,divorced,primary,no,46.0,no,no,cellular,25.0,mar,115.0,1.0,-1.0,unknown,yes
83,retired,married,primary,no,425.0,no,no,telephone,22.0,jun,883.0,1.0,140.0,failure,yes
83,retired,married,tertiary,no,6236.0,no,no,cellular,11.0,aug,155.0,1.0,190.0,failure,no
83,retired,divorced,primary,no,0.0,no,no,telephone,3.0,sep,225.0,1.0,-1.0,unknown,no
83,retired,married,primary,no,425.0,no,no,telephone,22.0,sep,773.0,1.0,92.0,success,yes
83,retired,married,unknown,no,4216.0,no,no,cellular,12.0,oct,92.0,1.0,-1.0,unknown,no
83,retired,married,tertiary,no,6236.0,no,no,cellular,12.0,oct,766.0,1.0,62.0,failure,no
83,retired,single,primary,no,1965.0,no,no,telephone,13.0,oct,1003.0,3.0,-1.0,unknown,yes
83,retired,divorced,primary,no,2619.0,no,no,telephone,16.0,oct,181.0,2.0,-1.0,unknown,no
83,retired,divorced,primary,no,20.0,no,no,cellular,27.0,nov,65.0,3.0,-1.0,unknown,no
83,retired,married,tertiary,no,4761.0,no,no,telephone,8.0,mar,659.0,1.0,-1.0,unknown,yes
83,retired,married,secondary,no,0.0,no,no,telephone,7.0,may,201.0,2.0,268.0,failure,no
83,retired,divorced,primary,no,0.0,no,no,telephone,31.0,may,664.0,1.0,77.0,success,no
83,retired,married,tertiary,no,4761.0,no,no,telephone,9.0,jun,294.0,2.0,93.0,success,no
83,housemaid,divorced,primary,no,5944.0,no,no,cellular,30.0,jul,200.0,3.0,-1.0,unknown,no
83,housemaid,married,primary,no,2140.0,no,no,cellular,6.0,sep,109.0,3.0,276.0,other,no
83,retired,divorced,primary,no,4565.0,no,no,cellular,13.0,sep,175.0,2.0,-1.0,unknown,no
82,retired,married,tertiary,no,278.0,no,no,cellular,16.0,feb,223.0,7.0,-1.0,unknown,no
82,housemaid,married,primary,no,2140.0,no,no,telephone,14.0,apr,118.0,6.0,-1.0,unknown,no
82,retired,married,unknown,no,211.0,no,no,telephone,22.0,apr,195.0,3.0,-1.0,unknown,no
82,retired,married,primary,no,8603.0,no,no,cellular,7.0,jul,429.0,1.0,-1.0,unknown,yes
82,retired,married,secondary,no,0.0,no,no,telephone,12.0,aug,150.0,2.0,-1.0,unknown,no
82,retired,married,secondary,no,276.0,no,no,telephone,17.0,aug,199.0,1.0,-1.0,unknown,yes
82,retired,married,primary,no,103.0,no,no,cellular,1.0,sep,368.0,1.0,-1.0,unknown,no
82,unknown,divorced,unknown,no,0.0,no,no,telephone,9.0,sep,277.0,5.0,-1.0,unknown,no
82,retired,married,primary,no,8603.0,no,no,cellular,22.0,oct,306.0,3.0,107.0,success,yes
82,housemaid,divorced,primary,no,1381.0,no,no,cellular,27.0,oct,156.0,1.0,-1.0,unknown,no
82,retired,divorced,tertiary,no,0.0,no,no,telephone,12.0,nov,226.0,1.0,-1.0,unknown,yes
82,housemaid,divorced,primary,no,1381.0,no,no,cellular,28.0,jan,86.0,3.0,93.0,failure,no
82,retired,married,secondary,no,121.0,no,no,telephone,19.0,feb,330.0,1.0,-1.0,unknown,yes
82,retired,divorced,primary,no,0.0,no,no,telephone,15.0,mar,506.0,2.0,195.0,other,yes
82,retired,divorced,primary,no,1419.0,no,no,telephone,26.0,mar,139.0,1.0,-1.0,unknown,no
82,retired,married,primary,no,243.0,no,no,cellular,26.0,jul,275.0,1.0,180.0,success,yes
82,housemaid,divorced,primary,no,1381.0,no,no,cellular,28.0,jul,844.0,5.0,181.0,failure,yes
82,retired,divorced,primary,no,0.0,no,no,cellular,6.0,aug,381.0,3.0,295.0,failure,no
82,retired,divorced,primary,no,928.0,no,no,telephone,23.0,sep,217.0,2.0,188.0,other,no
81,retired,married,secondary,no,1.0,no,no,cellular,19.0,aug,65.0,5.0,-1.0,unknown,no
81,retired,married,primary,no,122.0,no,no,telephone,23.0,apr,201.0,1.0,-1.0,unknown,no
81,management,married,tertiary,no,0.0,no,no,cellular,7.0,jul,170.0,1.0,-1.0,unknown,no
81,retired,married,primary,no,0.0,no,no,telephone,11.0,aug,198.0,1.0,-1.0,unknown,no
81,retired,divorced,primary,no,4321.0,no,no,cellular,11.0,aug,163.0,3.0,-1.0,unknown,no
81,retired,married,secondary,no,1.0,no,no,cellular,19.0,aug,65.0,5.0,-1.0,unknown,no
81,retired,divorced,primary,no,519.0,no,no,telephone,9.0,sep,488.0,1.0,-1.0,unknown,no
81,retired,divorced,primary,no,0.0,no,no,telephone,15.0,oct,172.0,1.0,-1.0,unknown,no
81,retired,divorced,unknown,no,0.0,no,no,telephone,16.0,oct,128.0,1.0,-1.0,unknown,no
81,retired,married,primary,no,243.0,no,no,cellular,27.0,oct,131.0,1.0,-1.0,unknown,yes
81,retired,divorced,unknown,no,9224.0,no,no,telephone,9.0,nov,235.0,2.0,-1.0,unknown,no
81,retired,married,primary,no,5220.0,no,no,telephone,13.0,nov,135.0,1.0,94.0,other,yes
81,retired,married,secondary,no,93.0,no,no,cellular,7.0,dec,164.0,1.0,-1.0,unknown,no
81,retired,divorced,secondary,no,452.0,no,no,telephone,16.0,dec,443.0,1.0,-1.0,unknown,yes
81,retired,divorced,tertiary,no,0.0,no,no,cellular,14.0,jan,357.0,1.0,-1.0,unknown,no
81,retired,married,primary,no,243.0,no,no,cellular,27.0,jan,340.0,1.0,92.0,success,yes
81,retired,married,primary,no,1154.0,no,no,telephone,17.0,sep,231.0,1.0,-1.0,unknown,yes
81,retired,divorced,primary,no,949.0,no,no,cellular,27.0,sep,188.0,2.0,280.0,other,yes
80,management,married,primary,no,6483.0,no,no,telephone,19.0,oct,123.0,1.0,-1.0,unknown,no
80,retired,married,secondary,no,8304.0,no,no,telephone,9.0,jun,712.0,1.0,64.0,failure,yes
80,retired,married,secondary,no,8304.0,no,no,telephone,6.0,apr,681.0,1.0,118.0,success,no
80,retired,married,secondary,no,462.0,no,no,cellular,7.0,dec,127.0,2.0,-1.0,unknown,no
80,retired,married,primary,no,1548.0,no,no,cellular,6.0,aug,331.0,2.0,-1.0,unknown,no
80,housemaid,married,primary,no,0.0,no,no,cellular,23.0,feb,639.0,1.0,189.0,failure,yes
80,retired,married,primary,no,1021.0,no,no,telephone,26.0,feb,37.0,1.0,-1.0,unknown,no
80,retired,married,primary,no,1861.0,no,no,telephone,14.0,apr,563.0,2.0,-1.0,unknown,no
80,retired,married,tertiary,no,3669.0,no,no,cellular,30.0,jun,166.0,1.0,-1.0,unknown,no
80,retired,married,primary,no,1548.0,no,no,cellular,6.0,aug,331.0,2.0,-1.0,unknown,no
80,retired,married,primary,no,2994.0,no,no,cellular,6.0,aug,320.0,1.0,-1.0,unknown,no
80,retired,married,unknown,no,355.0,no,no,telephone,10.0,aug,156.0,1.0,-1.0,unknown,no
80,retired,married,secondary,no,1610.0,no,no,cellular,12.0,aug,71.0,1.0,-1.0,unknown,no
80,retired,married,primary,no,2954.0,no,no,cellular,25.0,sep,144.0,1.0,-1.0,unknown,no
80,retired,married,secondary,no,2.0,no,no,telephone,15.0,oct,442.0,1.0,-1.0,unknown,no
80,management,married,primary,no,6483.0,no,no,telephone,19.0,oct,123.0,1.0,-1.0,unknown,no
80,retired,married,secondary,no,87.0,no,no,telephone,27.0,oct,219.0,2.0,-1.0,unknown,no
80,retired,married,primary,no,997.0,no,no,cellular,29.0,oct,746.0,2.0,86.0,other,yes
80,retired,married,secondary,no,462.0,no,no,cellular,7.0,dec,127.0,2.0,-1.0,unknown,no
80,retired,married,primary,no,155.0,no,no,telephone,9.0,dec,343.0,2.0,-1.0,unknown,yes
80,retired,married,primary,no,1468.0,no,no,cellular,13.0,jan,330.0,3.0,-1.0,unknown,yes
80,retired,married,primary,no,997.0,no,no,cellular,28.0,jan,151.0,1.0,91.0,success,yes
80,retired,married,secondary,no,2354.0,no,no,telephone,4.0,feb,739.0,1.0,181.0,failure,yes
80,housemaid,married,primary,no,0.0,no,no,cellular,23.0,feb,639.0,1.0,189.0,failure,yes
80,retired,married,primary,no,155.0,no,no,telephone,12.0,mar,290.0,1.0,93.0,success,yes
80,retired,divorced,primary,no,235.0,no,no,cellular,31.0,mar,577.0,1.0,223.0,other,yes
80,retired,married,secondary,no,8304.0,no,no,telephone,6.0,apr,681.0,1.0,118.0,success,no
80,housemaid,married,secondary,no,1929.1708913263894,no,no,cellular,15.614711033274956,may,2103.7558772010693,2.3738360837097816,36.272978703789065,failure,no
80,retired,married,secondary,no,1929.1708913263894,no,no,cellular,15.614711033274956,may,2103.7558772010693,2.3738360837097816,36.272978703789065,unknown,no
80,retired,married,secondary,no,1929.1708913263894,no,no,cellular,15.614711033274956,may,2103.7558772010693,2.3738360837097816,36.272978703789065,success,yes
80,retired,married,secondary,no,1929.1708913263894,no,no,cellular,15.614711033274956,may,2103.7558772010693,2.3738360837097816,36.272978703789065,unknown,no
80,retired,married,secondary,no,1929.1708913263894,no,no,cellular,15.614711033274956,may,2103.7558772010693,2.3738360837097816,36.272978703789065,failure,yes
80,retired,married,secondary,no,1929.1708913263894,no,no,cellular,15.614711033274956,may,2103.7558772010693,2.3738360837097816,36.272978703789065,success,yes
80,retired,married,primary,no,1468.0,no,no,cellular,13.0,jul,256.0,2.0,181.0,success,no
80,retired,married,secondary,no,173.0,no,no,cellular,2.0,aug,87.0,3.0,-1.0,unknown,no
80,retired,married,secondary,no,2354.0,no,no,telephone,4.0,aug,199.0,2.0,181.0,success,no
80,retired,married,secondary,no,8304.0,no,no,telephone,8.0,sep,606.0,3.0,91.0,success,yes
79,retired,married,secondary,no,4738.0,no,no,telephone,9.0,jul,151.0,5.0,-1.0,unknown,no
79,retired,married,primary,no,8556.0,no,no,telephone,18.0,jan,326.0,2.0,272.0,success,yes
79,retired,married,primary,no,429.0,no,no,telephone,8.0,jul,1006.0,2.0,-1.0,unknown,yes
79,retired,divorced,unknown,no,2628.0,no,no,telephone,8.0,jul,220.0,7.0,450.0,failure,no
79,retired,married,secondary,no,8304.0,no,no,telephone,9.0,mar,303.0,9.0,-1.0,unknown,yes
79,retired,married,primary,no,3481.0,no,no,telephone,17.0,apr,82.0,4.0,-1.0,unknown,no
79,retired,married,secondary,no,723.0,no,no,telephone,22.0,jun,295.0,3.0,-1.0,unknown,no
79,retired,married,secondary,no,668.0,no,no,telephone,2.0,jul,363.0,1.0,-1.0,unknown,yes
79,retired,married,primary,no,429.0,no,no,telephone,8.0,jul,1006.0,2.0,-1.0,unknown,yes
79,retired,married,unknown,no,0.0,no,no,telephone,8.0,jul,167.0,1.0,-1.0,unknown,no
79,retired,married,secondary,no,4738.0,no,no,telephone,9.0,jul,151.0,5.0,-1.0,unknown,no
79,retired,married,secondary,no,2354.0,no,no,telephone,7.0,aug,121.0,2.0,-1.0,unknown,no
79,housemaid,married,primary,no,0.0,no,no,cellular,18.0,aug,90.0,1.0,-1.0,unknown,no
79,retired,married,secondary,no,723.0,no,no,telephone,9.0,sep,276.0,1.0,79.0,failure,yes
79,retired,married,secondary,no,909.0,no,no,cellular,25.0,sep,114.0,1.0,95.0,other,no
79,retired,divorced,primary,no,79.0,no,no,cellular,9.0,oct,1106.0,2.0,-1.0,unknown,yes
79,retired,married,secondary,no,2661.0,no,no,cellular,10.0,nov,254.0,5.0,-1.0,unknown,yes
79,retired,married,secondary,no,8304.0,no,no,cellular,9.0,dec,456.0,2.0,275.0,success,yes
79,retired,married,primary,no,3025.0,no,no,cellular,11.0,dec,166.0,3.0,126.0,other,yes
79,retired,married,primary,no,8556.0,no,no,telephone,18.0,jan,326.0,2.0,272.0,success,yes
79,retired,divorced,secondary,no,631.0,no,no,telephone,8.0,feb,105.0,2.0,181.0,failure,no
79,retired,divorced,primary,no,1910.0,no,no,telephone,24.0,feb,98.0,2.0,-1.0,unknown,no
79,retired,married,primary,no,3025.0,no,no,telephone,11.0,mar,184.0,1.0,90.0,success,no
79,retired,divorced,primary,no,20.0,no,no,cellular,29.0,apr,165.0,2.0,182.0,other,no
79,retired,married,primary,no,1058.0,no,no,telephone,17.0,may,564.0,5.0,-1.0,unknown,no
79,retired,divorced,unknown,no,2628.0,no,no,telephone,8.0,jul,220.0,7.0,450.0,failure,no
79,retired,divorced,primary,no,2787.0,no,no,telephone,13.0,jul,617.0,1.0,377.0,success,yes
79,retired,divorced,secondary,no,631.0,no,no,telephone,9.0,aug,440.0,5.0,182.0,failure,no
79,retired,divorced,primary,no,336.0,no,no,cellular,6.0,oct,386.0,1.0,184.0,other,no
78,retired,divorced,primary,no,229.0,no,no,telephone,22.0,oct,97.0,1.0,-1.0,unknown,yes
78,housemaid,married,secondary,no,499.0,no,no,telephone,16.0,mar,80.0,4.0,-1.0,unknown,no
78,retired,married,tertiary,no,226.0,no,no,telephone,6.0,nov,136.0,1.0,-1.0,unknown,no
78,retired,married,primary,no,158.0,no,no,cellular,18.0,feb,360.0,1.0,-1.0,unknown,no
78,retired,married,primary,no,2735.0,no,no,telephone,26.0,feb,418.0,2.0,-1.0,unknown,no
78,housemaid,married,secondary,no,499.0,no,no,telephone,16.0,mar,80.0,4.0,-1.0,unknown,no
78,retired,divorced,unknown,no,2628.0,no,no,telephone,14.0,apr,129.0,2.0,-1.0,unknown,no
78,unknown,married,unknown,no,2235.0,no,no,telephone,14.0,apr,300.0,3.0,-1.0,unknown,yes
78,retired,married,primary,no,240.0,no,no,cellular,20.0,apr,325.0,1.0,-1.0,unknown,yes
78,retired,married,primary,no,8556.0,no,no,telephone,21.0,apr,137.0,2.0,-1.0,unknown,yes
78,retired,divorced,tertiary,no,1016.0,no,no,cellular,22.0,jun,524.0,1.0,-1.0,unknown,no
78,retired,divorced,primary,no,2787.0,no,no,telephone,1.0,jul,372.0,1.0,-1.0,unknown,yes
78,retired,married,secondary,no,220.0,no,no,cellular,4.0,aug,220.0,1.0,-1.0,unknown,no
78,retired,divorced,secondary,no,631.0,no,no,telephone,11.0,aug,95.0,1.0,-1.0,unknown,no
78,retired,married,primary,no,301.0,no,no,cellular,7.0,sep,537.0,2.0,-1.0,unknown,no
78,retired,divorced,unknown,no,0.0,no,no,telephone,8.0,oct,259.0,1.0,-1.0,unknown,no
78,retired,married,unknown,no,4807.0,no,no,telephone,22.0,oct,1002.0,4.0,-1.0,unknown,yes
78,retired,divorced,primary,no,229.0,no,no,telephone,22.0,oct,97.0,1.0,-1.0,unknown,yes
78,retired,divorced,primary,no,55.0,no,no,telephone,5.0,nov,143.0,3.0,90.0,other,no
78,retired,married,tertiary,no,226.0,no,no,telephone,6.0,nov,136.0,1.0,-1.0,unknown,no
78,retired,married,tertiary,no,1204.0,no,no,telephone,17.0,nov,135.0,1.0,-1.0,unknown,yes
78,retired,divorced,primary,no,4917.0,no,no,cellular,29.0,dec,195.0,2.0,-1.0,unknown,no
78,retired,married,unknown,no,4807.0,no,no,telephone,3.0,feb,892.0,2.0,104.0,success,yes
78,retired,divorced,secondary,no,3219.0,no,no,cellular,24.0,feb,151.0,1.0,-1.0,unknown,yes
78,retired,divorced,primary,no,1389.0,no,no,cellular,8.0,apr,335.0,1.0,-1.0,unknown,yes
78,retired,married,primary,no,832.0,no,no,telephone,11.0,may,97.0,3.0,-1.0,unknown,no
78,retired,divorced,secondary,no,3417.0,no,no,cellular,12.0,may,309.0,1.0,181.0,success,yes
78,retired,married,unknown,no,3208.0,no,no,telephone,20.0,may,351.0,3.0,-1.0,unknown,yes
78,retired,married,primary,no,680.0,no,no,telephone,24.0,may,838.0,1.0,89.0,failure,no
78,retired,married,unknown,no,38.0,no,no,telephone,4.0,aug,156.0,1.0,1.0,other,no
78,retired,divorced,primary,no,527.0,no,no,cellular,16.0,sep,193.0,1.0,-1.0,unknown,yes
78,management,married,unknown,no,1780.0,yes,no,cellular,25.0,oct,211.0,2.0,185.0,success,yes
78,retired,married,primary,no,14204.0,no,no,cellular,26.0,oct,150.0,1.0,183.0,other,no
77,retired,divorced,tertiary,no,4659.0,no,no,cellular,14.0,apr,161.0,1.0,-1.0,unknown,yes
77,retired,married,tertiary,no,7802.0,no,no,telephone,4.0,may,421.0,1.0,92.0,success,yes
77,retired,married,secondary,no,610.0,no,no,cellular,13.0,aug,766.0,3.0,-1.0,unknown,no
77,retired,married,tertiary,no,0.0,no,no,cellular,16.0,oct,847.0,1.0,60.0,success,yes
77,retired,married,primary,no,680.0,no,no,telephone,24.0,feb,513.0,2.0,89.0,failure,no
77,retired,married,primary,no,680.0,no,no,telephone,27.0,nov,341.0,4.0,94.0,failure,no
77,retired,married,secondary,no,9601.0,no,no,telephone,27.0,mar,515.0,1.0,-1.0,unknown,yes
77,retired,married,tertiary,no,0.0,no,no,cellular,6.0,apr,190.0,1.0,-1.0,unknown,no
77,retired,divorced,Tertiary,no,4659.0,no,no,cellular,14.0,apr,161.0,1.0,-1.0,unknown,yes
77,retired,divorced,primary,no,639.0,no,no,telephone,16.0,apr,127.0,7.0,-1.0,unknown,no
77,retired,married,secondary,no,1208.0,no,no,telephone,28.0,apr,72.0,4.0,-1.0,unknown,no
77,retired,married,secondary,no,638.0,no,no,cellular,7.0,aug,453.0,1.0,-1.0,unknown,yes
77,retired,married,tertiary,no,699.0,no,no,cellular,13.0,aug,425.0,2.0,-1.0,unknown,yes
77,retired,married,secondary,no,610.0,no,no,cellular,13.0,aug,766.0,3.0,-1.0,unknown,no
77,retired,married,tertiary,no,0.0,no,no,cellular,17.0,aug,286.0,1.0,-1.0,unknown,yes
77,retired,married,primary,no,680.0,no,no,telephone,25.0,aug,103.0,3.0,-1.0,unknown,no
77,retired,single,primary,no,300.0,no,no,cellular,9.0,sep,511.0,1.0,-1.0,unknown,no
77,retired,divorced,secondary,no,0.0,no,no,cellular,25.0,sep,210.0,1.0,-1.0,unknown,yes
77,retired,married,primary,no,121.0,no,no,telephone,7.0,oct,191.0,1.0,-1.0,unknown,no
77,retired,married,primary,no,989.0,no,no,telephone,12.0,oct,95.0,2.0,-1.0,unknown,no
77,retired,married,tertiary,no,0.0,no,no,cellular,16.0,oct,847.0,1.0,60.0,success,yes
77,retired,married,unknown,no,1807.0,no,no,telephone,20.0,oct,373.0,1.0,-1.0,unknown,yes
77,management,married,unknown,no,1780.0,yes,no,cellular,23.0,oct,221.0,2.0,183.0,success,yes
77,retired,DIV,secondary,no,3417.0,no,no,cellular,12.0,nov,134.0,1.0,-1.0,unknown,yes
77,retired,married,primary,no,2590.0,no,no,telephone,13.0,nov,212.0,3.0,277.0,failure,yes
77,retired,married,secondary,no,4112.0,no,no,telephone,26.0,may,2103.7558772010693,2.3738360837097816,36.272978703789065,success,yes
77,retired,married,tertiary,no,7802.0,no,no,telephone,1.0,may,2103.7558772010693,2.3738360837097816,36.272978703789065,unknown,yes
77,retired,married,unknown,no,38.0,no,no,telephone,3.0,feb,261.0,1.0,-1.0,unknown,no
77,retired,married,secondary,no,2123.0,no,no,telephone,4.0,feb,141.0,4.0,-1.0,unknown,no
77,retired,married,secondary,no,638.0,no,no,cellular,11.0,feb,288.0,1.0,188.0,success,yes
77,retired,married,primary,no,2590.0,no,no,telephone,15.0,feb,112.0,5.0,94.0,success,no
77,retired,married,primary,no,680.0,no,no,telephone,24.0,feb,513.0,2.0,89.0,failure,no
77,retired,married,primary,no,29340.0,no,no,cellular,15.0,mar,257.0,1.0,91.0,other,yes
77,management,married,tertiary,no,5619.0,no,no,cellular,25.0,mar,189.0,1.0,-1.0,unknown,no
77,management,married,unknown,no,1780.0,yes,no,cellular,23.0,apr,361.0,2.0,182.0,success,yes
77,retired,married,unknown,no,992.0,no,no,cellular,27.0,apr,147.0,2.0,182.0,failure,no
77,retired,married,tertiary,no,7802.0,no,no,telephone,4.0,may,421.0,1.0,92.0,success,yes
77,unknown,married,unknown,no,397.0,no,no,telephone,7.0,may,300.0,3.0,-1.0,unknown,yes
77,retired,married,primary,no,3324.0,no,no,cellular,13.0,may,289.0,1.0,91.0,success,yes
77,retired,married,tertiary,no,1047.0,no,no,cellular,30.0,jun,108.0,5.0,-1.0,unknown,no
77,retired,married,secondary,no,4112.0,no,no,telephone,29.0,jul,426.0,1.0,184.0,success,yes
77,retired,married,primary,no,2223.0,no,no,telephone,10.0,aug,365.0,2.0,187.0,success,no
77,retired,married,primary,no,2590.0,no,no,telephone,12.0,aug,345.0,1.0,178.0,failure,yes
77,retired,married,primary,no,1492.0,no,no,telephone,1.0,sep,663.0,1.0,208.0,other,no
77,retired,married,primary,no,1385.0,no,no,telephone,8.0,sep,160.0,4.0,-1.0,unknown,no
77,retired,married,tertiary,no,0.0,no,no,cellular,27.0,sep,990.0,4.0,-1.0,unknown,no
77,retired,married,secondary,no,820.0,no,no,telephone,21.0,oct,330.0,2.0,181.0,success,yes
77,retired,divorced,primary,no,2693.0,no,no,cellular,25.0,oct,83.0,2.0,94.0,other,no
77,unknown,married,unknown,no,397.0,no,no,telephone,8.0,nov,207.0,1.0,185.0,success,no
76,retired,divorced,primary,no,86.0,no,no,cellular,12.0,aug,192.0,1.0,-1.0,unknown,no
76,retired,divorced,primary,no,3049.0,no,no,cellular,24.0,mar,170.0,3.0,-1.0,unknown,yes
76,housemaid,divorced,primary,no,1411.0,no,no,telephone,15.0,apr,170.0,3.0,-1.0,unknown,yes
76,management,married,unknown,no,1780.0,yes,no,telephone,23.0,apr,413.0,3.0,-1.0,unknown,yes
76,retired,divorced,primary,no,86.0,no,no,cellular,12.0,aug,192.0,1.0,-1.0,unknown,no
76,retired,married,primary,no,3324.0,no,no,cellular,13.0,aug,227.0,2.0,192.0,failure,yes
76,retired,married,tertiary,no,0.0,no,no,telephone,19.0,aug,170.0,1.0,-1.0,unknown,no
76,retired,married,primary,no,2632.0,no,no,cellular,28.0,aug,368.0,2.0,-1.0,unknown,no
76,retired,divorced,primary,no,802.0,no,no,cellular,9.0,sep,475.0,5.0,-1.0,unknown,yes
76,retired,married,secondary,no,242.0,no,no,telephone,16.0,sep,994.0,3.0,-1.0,unknown,no
76,retired,married,primary,no,163.0,no,no,telephone,13.0,oct,120.0,1.0,-1.0,unknown,no
76,housemaid,divorced,primary,no,1411.0,no,no,telephone,19.0,oct,233.0,2.0,187.0,success,yes
76,retired,divorced,primary,no,2693.0,no,no,cellular,21.0,oct,107.0,2.0,-1.0,unknown,yes
76,retired,married,tertiary,no,2991.0,no,no,cellular,22.0,oct,344.0,1.0,183.0,success,yes
76,retired,married,secondary,no,4112.0,no,no,telephone,23.0,oct,282.0,2.0,-1.0,unknown,yes
76,retired,married,unknown,no,992.0,no,no,cellular,27.0,oct,139.0,2.0,-1.0,unknown,no
76,retired,married,primary,no,1492.0,no,no,telephone,3.0,nov,383.0,1.0,-1.0,unknown,yes
